model_id,tuples
18a9ed12-3a65-45a8-bbb3-832df01f235f,"{""support"": ""metal"", ""shade_cloth"": ""fabric"", ""arm"": ""metal"", ""bulb"": ""glass"", ""base"": ""metal"", ""body"": ""metal"", ""socket"": ""metal""}"
a4ff0c49-8f64-4b10-908b-ea0f3237ab0a,"{""top"": ""marble"", ""stretcher"": ""metal"", ""leg"": ""metal""}"
2459e77b-70e6-4fda-8f4f-064ce122d784,"{""base"": ""metal"", ""seat"": ""fabric"", ""backrest"": ""metal"", ""cushion"": ""fabric"", ""back"": ""fabric""}"
b386fb3d-c434-40d8-a976-3fef303bfdad,"{""seat"": ""leather"", ""design"": ""metal"", ""base"": ""wood""}"
585fe7af-481e-456a-9a72-761396ce429c,"{""headboard"": ""wood"", ""bedskirt"": ""fabric"", ""mattress"": ""fabric"", ""duvet"": ""fabric"", ""leg"": ""metal"", ""pillow"": ""leather"", ""base"": ""metal""}"
dffa0832-2430-4cda-9265-663820297e16,"{""leg"": ""metal"", ""drawer"": ""metal"", ""support"": ""metal"", ""bush"": ""plastic"", ""base"": ""wood"", ""handle"": ""metal"", ""top"": ""marble""}"
cad2b6ba-4969-4b1b-9ad6-a5d01f8d9173,"{""support"": ""metal"", ""base"": ""metal"", ""top"": ""metal"", ""leg"": ""metal""}"
f2acdea0-ffe4-4917-8f47-a440ea4f9b2f,"{""leg"": ""metal"", ""pillow"": ""leather"", ""bedskirt"": ""leather"", ""duvet"": ""fabric"", ""mattress"": ""fabric"", ""headboard"": ""wood"", ""base"": ""metal""}"
d18fdb93-6265-4ab1-933e-87654b8e1243,"{""headboard"": ""wood"", ""bedskirt"": ""leather"", ""duvet"": ""fabric"", ""mattress"": ""fabric"", ""pillow"": ""leather""}"
5005c14a-3e60-46f0-b262-2f2f692eaa03,"{""container"": ""ceramic"", ""containing_things"": ""plastic"", ""head"": ""plastic""}"
16fb5c76-2db2-40e4-a242-57b8de73ddea,"{""top"": ""wood"", ""base"": ""metal"", ""support"": ""metal""}"
d0a5117d-804d-4f8d-a909-1ee08d09e1fc,"{""headboard"": ""wood"", ""leg"": ""metal"", ""mattress"": ""fabric"", ""duvet"": ""fabric"", ""pillow"": ""fabric"", ""base"": ""metal"", ""bedskirt"": ""fabric""}"
179141ac-90c7-4875-8e0d-4607ec1286eb,"{""footrest"": ""metal"", ""seat"": ""leather"", ""leg"": ""metal"", ""base"": ""metal""}"
2f0c9866-14cf-4906-b7e2-977c64468788,"{""leg"": ""metal"", ""support"": ""metal"", ""base"": ""metal"", ""top"": ""marble""}"
f674c191-a06d-4db1-a8c7-f0ada532fff0,"{""base"": ""metal"", ""container"": ""ceramic"", ""containing_things"": ""metal""}"
fd2a50d0-08b6-4824-85f7-5fdcdf18d7ec,"{""base"": ""metal"", ""seat"": ""leather""}"
52d4529e-3825-4951-a81d-42274eeacd91,"{""support"": ""wood"", ""base"": ""wood"", ""shelf"": ""wood"", ""vertical_side_panel"": ""wood""}"
7058851b-b0f5-475b-8438-a0794e528563,"{""base"": ""wood"", ""duvet"": ""fabric"", ""bush"": ""plastic"", ""leg"": ""metal"", ""mattress"": ""fabric"", ""headboard"": ""wood"", ""pillow"": ""fabric""}"
a862afdb-1491-4d28-a8c7-720d24956182,"{""seat"": ""leather"", ""armrest"": ""metal"", ""cushion"": ""leather"", ""leveller"": ""plastic"", ""leg"": ""metal"", ""support"": ""metal""}"
fcd472f6-3caa-4906-bdd6-9f94bebd3a21,"{""head"": ""plastic"", ""container"": ""ceramic"", ""base"": ""ceramic"", ""containing_things"": ""metal""}"
b94fb2f5-a271-4e8a-91b6-a858bd7059f2,"{""support"": ""metal"", ""armrest"": ""plastic"", ""leg"": ""metal"", ""leveller"": ""plastic"", ""back"": ""leather"", ""seat"": ""leather""}"
a067e4a2-9ba4-4b02-b563-1b8f6bd8aa88,"{""bedsheet"": ""fabric"", ""duvet"": ""fabric"", ""pillow"": ""fabric"", ""headboard"": ""wood"", ""base"": ""metal""}"
821f795d-0e0b-411e-86ba-9f909ee8205c,"{""bedskirt"": ""leather"", ""mattress"": ""fabric"", ""duvet"": ""fabric"", ""pillow"": ""leather""}"
85c25bf3-aa89-43f6-919f-80a37331ae8b,"{""seat"": ""leather"", ""base"": ""wood"", ""support"": ""metal"", ""leg"": ""metal""}"
45711637-97e1-4fd3-b7ad-9b1c1d301d17,"{""container"": ""ceramic"", ""containing_things"": ""metal"", ""head"": ""metal""}"
9ea212d3-bf7e-47dc-83dd-df42a2f37e80,"{""pillow"": ""leather"", ""bedskirt"": ""leather"", ""leg"": ""metal"", ""headboard"": ""wood"", ""support"": ""metal"", ""base"": ""metal"", ""duvet"": ""fabric"", ""mattress"": ""fabric""}"
0ae369e7-189a-43cf-92cf-3e7433c2ab59,"{""leg"": ""wood"", ""seat"": ""leather"", ""design"": ""wood""}"
2d54457a-e050-4242-86b9-3f6caae282ff,"{""headboard"": ""wood"", ""mattress"": ""fabric"", ""bedskirt"": ""fabric"", ""pillow"": ""fabric"", ""base"": ""metal""}"
c205f169-98ac-4421-bd5d-b1cd473651e6,"{""shelf"": ""metal"", ""vertical_side_panel"": ""metal"", ""base"": ""metal""}"
0f30a655-49df-4617-80a9-f3ac723a975c,"{""pillow"": ""fabric"", ""back"": ""fabric"", ""support"": ""fabric"", ""leg"": ""metal"", ""backrest"": ""fabric"", ""base"": ""wood"", ""seat"": ""fabric""}"
cfcf7dd5-dcf1-4ef4-b3d2-36cea78a8c5a,"{""container"": ""metal"", ""head"": ""metal"", ""containing_things"": ""metal""}"
1b691dbe-ecfb-4c71-b7ac-b52aed0ca1c8,"{""leg"": ""metal"", ""top"": ""metal"", ""base"": ""metal"", ""support"": ""metal""}"
