id,sub_category,parts,model
59814517-d4b7-44bb-b10e-7a8e882409a5,armchairs & accent chairs,"['seat', 'cushion', 'base', 'leg', 'support', 'bush', 'back']",chair
c968e5e5-8523-4406-910a-e82be8a2fb65,armchairs & accent chairs,"['back', 'leg', 'cushion', 'seat', 'armrest', 'support', 'bush']",chair
03ef93e4-bcd7-4ddc-8244-829077bd27fa,cabinet,"['handle', 'bottom_panel', 'top_panel', 'leg', 'drawer', 'vertical_side_panel', 'design', 'bush', 'back_panel']",cabinet
a4d62c2a-b70b-4926-8c2b-99572d00117a,clock,"['hour_hand', 'minute_hand', 'back', 'body', 'pendulum', 'dial', 'frame', 'glass']",clock
fb2e1102-abfa-4553-8635-1718ae84fcec,boat,"['body', 'pendulum', 'seat', 'bow']",boat
89a8e363-075a-4cee-bc72-60603b3efe0e,boat,"['pendulum', 'seat', 'body']",boat
c59feaca-7c5f-44d4-a41d-778fd1a96986,boat,"['pendulum', 'seat', 'body']",boat
1a3a4225-c089-4859-ba7c-ee06eb6ad723,boat,"['pendulum', 'strap', 'body', 'bow', 'seat', 'hook', 'wire']",boat
344dcea5-061f-4712-9295-b09badadfea0,boat,"['hook', 'pendulum', 'body', 'seat']",boat
ac82aa1a-f894-454a-931e-d1137c616c11,boat,"['pendulum', 'body', 'seat', 'wire']",boat
5b4e0597-c425-4309-9e0e-9aea22d6ecea,floor lamp,"['socket', 'bulb', 'lamp_surrounding_frame', 'shade_cloth', 'stand', 'bush']",lamp
00381bcf-8269-4e53-be7e-8fa836bc7f90,floor lamp,"['support', 'socket', 'shade_cloth', 'bulb', 'rod', 'stand', 'bush']",lamp
3afaad2f-e62d-45f9-8d05-ff5cce2b2a21,stool,"['base', 'seat', 'leg', 'support', 'bush']",stool
d3a110ed-8684-477a-a6a6-2d0a954466a1,armchairs & accent chairs,"['support', 'back', 'seat', 'bush', 'leg']",chair
15443748-cd9d-49fd-8150-5931b400e43f,chair,"['seat', 'pillow', 'cushion', 'bush', 'leg', 'base', 'back', 'armrest']",chair
7ae8625e-53b9-4089-90e1-dbf4293a06b1,armchairs & accent chairs,"['seat', 'leg', 'bush', 'backrest', 'back']",chair
ad4e8a08-fcb7-4d29-9f42-837cf4a3576f,armchairs & accent chairs,"['seat', 'base', 'leg', 'bush', 'back', 'support']",chair
92afcd92-71d5-4618-b6d7-6f4e4447ed2f,armchairs & accent chairs,"['leg', 'seat', 'bush', 'support', 'footrest', 'base', 'back']",chair
1fd6668e-87e6-4e4b-951e-ea9cfd09f66f,coffee table,"['top', 'base', 'leg', 'bush']",table
433b86e4-78f9-4afa-b544-1c1f5e8c4fde,office chairs,"['back', 'seat', 'cushion', 'base', 'bush', 'leg']",chair
1d8b42d8-71f0-400c-9811-44196c22a119,dining chair,"['seat', 'support', 'back', 'bush', 'leg']",chair
8f27b03a-ba37-4b0b-9f29-c1eb77a9dd7a,armchairs & accent chairs,"['seat', 'leg', 'armrest', 'back', 'bush']",chair
f38cd347-d9fd-4fdd-b888-db1f8981e08f,ottoman,"['base', 'leg', 'seat', 'cushion', 'bush', 'support']",ottoman
a15ae055-6e8a-40a7-a211-8c9a8942542c,table lamp,"['shade_cloth', 'pole', 'base', 'socket', 'rod', 'bulb', 'bush']",lamp
92415bc3-4416-4991-a843-4c383da22e95,side & end table,"['bush', 'leg', 'base', 'top']",table
23f00158-4b9f-46ff-8c89-c2cceb9d3662,side & end table,"['support', 'leg', 'bush', 'tabletop_frame', 'top']",table
7a9550b9-2999-4fa5-8f5e-8a7053772292,side & end table,"['top', 'tabletop_frame', 'support', 'bush', 'base']",table
5158a9f1-70a3-48fb-8dc5-e3370a3eeaaf,accent table,"['leg', 'bush', 'support', 'top', 'base']",table
6eb060a8-63af-4794-9ff6-9f17d75728e1,coffee table,"['base', 'bush', 'leg', 'top']",table
f2c082ad-2673-4d1d-b650-0c229eb54322,coffee table,"['top', 'support', 'leg', 'bush']",table
fbe42d4f-3297-40ef-a65e-472c79f11112,coffee table,"['bush', 'top', 'leg', 'support']",table
acef6635-6ecf-481b-89c9-144f7761e22e,armchairs & accent chairs,"['bush', 'back', 'seat', 'leg']",chair
1a3f96b2-aa6a-41db-bf97-4c46231175d8,cabinet,"['drawer', 'leg', 'vertical_side_panel', 'back_panel', 'top_panel', 'bottom_panel', 'door', 'shelf']",cabinet
947c193d-55fe-4b64-9bee-65f5764f382b,cabinet,"['top_panel', 'door', 'vertical_side_panel', 'handle', 'bottom_panel', 'leg', 'base', 'back_panel']",cabinet
5166c04d-64eb-42d5-be0c-ff3c2deeb08c,water closet/western toilet,"['bowl', 'seat_cover', 'flush_push_button', 'water_tank']",toilet
e0afcd43-482c-4f75-97b7-133671cb9401,water closet/western toilet,"['bowl', 'flush_push_button', 'seat_cover', 'water_tank', 'tank_cover']",toilet
0e37d4d1-3a0d-4a35-8897-aae6adc4e238,clock,"['frame', 'body', 'hour_hand', 'second_hand', 'minute_hand', 'dial']",clock
357d8e54-f012-4fc2-a4d7-792fe4d658e2,rug,"['border', 'front', 'back']",rug
512ff5f0-7d02-40fb-80bc-864b12a8b559,boat,"['bow', 'seat', 'propeller', 'fan', 'body']",boat
d108e5d9-2749-41c8-83d2-5641b5eaf55c,boat,"['body', 'seat', 'switch', 'helm', 'dial', 'hull', 'glass', 'deck']",boat
81f497ed-d41a-4445-bf63-8ae88c6644a6,cabinet,"['support', 'bottom_panel', 'door', 'vertical_side_panel', 'design', 'back_panel', 'leg', 'top_panel', 'drawer', 'handle']",cabinet
de4b76ce-81d1-4715-b071-fd982823f7e9,car,"['side_windows', 'rear_window', 'number_plate', 'bottom', 'trunk', 'roof', 'wheel', 'headlight', 'windshield', 'rear_view_mirror', 'wiper', 'doors', 'handle', 'seat', 'hood']",car
1811f87d-bcd6-43e0-b1ed-f3c2f246e209,car,"['doors', 'number_plate', 'wiper', 'seat', 'rear_window', 'windshield', 'side_windows', 'bottom', 'rear_view_mirror', 'wheel', 'roof', 'hood', 'handle', 'headlight', 'trunk']",car
ad22f7d3-e01c-495e-98d7-b25cc0bd19fe,car,"['doors', 'hood', 'seat', 'headlight', 'handle', 'wheel', 'rear_view_mirror', 'grill', 'number_plate', 'windshield', 'trunk', 'bottom', 'roof', 'rear_window', 'side_windows', 'wiper']",car
51774433-0ff6-4ba9-a9ef-2804349e1fb2,car,"['rear_window', 'windshield', 'side_windows', 'rear_view_mirror', 'wheel', 'wiper', 'trunk', 'seat', 'handle', 'bottom', 'doors', 'headlight', 'number_plate', 'roof', 'hood']",car
2e39745e-e851-4e24-bd3e-994aff223862,water closet/western toilet,"['seat', 'bowl', 'tank_cover', 'flush_push_button', 'seat_cover', 'water_tank']",toilet
c13ddfe8-b9a1-40c6-91a0-26baec5d2aa7,water closet/western toilet,"['flush_push_button', 'seat_cover', 'water_tank', 'tank_cover', 'seat', 'bowl']",toilet
240469b8-3fb1-4013-8c59-aa13018770fe,water closet/western toilet,"['water_tank', 'flush_handle', 'seat', 'bowl', 'seat_cover']",toilet
2d9833f5-8dfc-498b-91ea-c87e437ce8ea,water closet/western toilet,"['flush_push_button', 'tank_cover', 'water_tank', 'bowl']",toilet
86263268-bb2b-4473-8be1-906f2c5afa9e,water closet/western toilet,"['bowl', 'water_tank', 'seat', 'seat_cover', 'tank_cover', 'flush_push_button']",toilet
c1fdc38b-8fe8-4a63-b087-4b1f74def884,water closet/western toilet,"['flush_push_button', 'tank_cover', 'seat', 'seat_cover', 'bowl']",toilet
