,orgin,new
0,drawer_1,drawer
1,base_1,base
2,leg_1,leg
3,shower_head,shower_head
4,flange,flange
5,pipe,pipe
6,bracket,bracket
7,nozzle,nozzle
8,step,step
9,front_side_rail,front_side_rail
10,back,back
11,seat,seat
12,backrest,backrest
13,cushion,cushion
14,leg,leg
15,armrest,armrest
16,base,base
17,containing_things,containing_things
18,head,head
19,container,container
20,handle,handle
21,mouth,mouth
22,body,body
23,frame,frame
24,bottom,bottom
25,surface,surface
26,support,support
27,bulb,bulb
28,lamp_surrounding_frame,lamp_surrounding_frame
29,socket,socket
30,bottom_panel,bottom_panel
31,back_panel,back_panel
32,top_panel,top_panel
33,drawer,drawer
34,side_panel,side_panel
35,wheel,wheel
36,foot,foot
37,top_1,top
38,support_1,support
39,pillow,pillow
40,mattress,mattress
41,design,design
42,seat_1,seat
43,footrest_1,footrest
44,cushion_1,cushion
45,backrest_1,backrest
46,armrest_1,armrest
47,bush_1,bush
48,bush,bush
49,vertical_side_panel,vertical_side_panel
50,stand,stand
51,hanger,hanger
52,bowl,bowl
53,water_tank,water_tank
54,tank_cover,tank_cover
55,seat_cover,seat_cover
56,flush_push_button,flush_push_button
57,top,top
58,candle,candle
59,stem,stem
60,shoulder,shoulder
61,rod,rod
62,wall_mount,wall_mount
63,perch,perch
64,eyehook,eyehook
65,back_1,back
66,pole,pole
67,headboard,headboard
68,duvet,duvet
69,bedskirt,bedskirt
70,spout,spout
71,aerator,aerator
72,wire,wire
73,arm,arm
74,shade_cloth,shade_cloth
75,door,door
76,truck,truck
77,grip_tape,grip_tape
78,deck,deck
79,wheels,wheel
80,base_0,base
81,bush_0,bush
82,seat_cushion,seat_cushion
83,shelf,shelf
84,glass,glass
85,hinge,hinge
86,leg_stretcher,leg_stretcher
87,side_walls,side_walls
88,roof,roof
89,light,light
90,canopy,canopy
91,blade_bracket,blade_bracket
92,blade,blade
93,motor_box,motor_box
94,downrod,downrod
95,hardware,hardware
96,tabletop_frame,tabletop_frame
97,leveller_1,leveller
98,rod_bracket,rod_bracket
99,knob,knob
100,fabric_design,fabric_design
101,strut,strut
102,propeller_blade,propeller_blade
103,windshield,windshield
104,fin,fin
105,wing,wing
106,windows,windows
107,top_cap,top_cap
108,hook,hook
109,vertical_divider_panel,vertical_divider_panel
110,footrest,footrest
111,bulb_1,bulb
112,body_1,body
113,spout_1,spout
114,aerator_1,aerator
115,handle_1,handle
116,top_panel_1,top_panel
117,vertical_side_panel_1,vertical_side_panel
118,door_1,door
119,back_panel_1,back_panel
